sku;nama_produk;gambar;barcode;sni
AECK-0101;Cempal Kotak White Beige - Asta;;;?
AECO-0101;Cempal Oval Flower Green - Asta;;;?
AECO-0102;Cempal Oval White Beige - Asta;;;?
AECO-0103;Cempal Oval Peach - Asta;;;?
AECO-0104;Cempal Oval Flower Blue - Asta;;;?
AECO-0105;Cempal Oval Flower Purple - Asta;;;?
AECO-0106;Cempal Oval Flower Purple- Asta;;;?
AECO-0201;Cempal Oval Flower Blue in Pink Lining - Asta;;;?
"AECO- 0201+AEHG-
0201";"Sarung Tangan 0201 + Cempal
0201";;;?
AECO-0202;Cempal Oval Flower Pink in Mint Lining - Asta;;;?
"AECO- 0202+AEHG-
0202";"Sarung Tangan 0202 + Cempal
0202";;;?
AECO-0203;Cempal Oval Flower Purple in Mint Lining  - Asta;;;?
AECO-0301;Cempal Sarung Oval Flower Green in Green Lining - Asta;;;?
AECO-0302;Cempal Sarung Oval Flower Pink in Mint Lining - Asta;;;?
AECO-0303;Cempal Sarung Oval Flower Purple in Pink Lining - Asta;;;?
AECO-0304;Cempal Sarung Oval Flower Purple in Purple Lining - Asta;;;?
AECO-0305;Cempal Sarung Oval Flower Blue in Pink Lining - Asta;;;?
AECO-0306;Cempal Sarung Oval Flower Pink ini Green Lining - Asta;;;?
AECO-0307;Cempal Sarung Oval Flower Red in Red Lining - Asta;;;?
AEHG-0101;Sarung Tangan Flower Purple - Asta;;;?
AEHG-0102;Sarung Tangan Flower Blue - Asta;;;?
AEHG-0103;arung Tangan Flower Purple 2 - Ast;;;?
AEHG-0201;Sarung Tangan Flower Blue in Pink lining - Asta;;;?
AEHG-0202;Sarung Tangan Flower Pink in Mint lining - Asta;;;?
AEHG-0203;Sarung Tangan Flower Purple in Mint lining - Asta;;;?
AEHG-0301;Sarung Tangan Oven Panjang Flower Green in Green lining - Asta;;;?
AEHG-0302;Sarung Tangan Oven Panjang Flower Purple in Pink lining - Asta;;;?
AEHG-0303;Sarung Tangan Oven Panjang Flower Purple in Purple lining - Asta;;;?
AEHG-0304;Sarung Tangan Oven Panjang Flower Pink in Green lining - Asta;;;?
AEHG-0305;Sarung Tangan Oven Panjang Flower Red in Red lining - Asta;;;?
AEKA-0201;Kitchen Apron Garis Biru - Asta;;;?
AEKA-0202;Kitchen Apron Kotak Hijau - Asta;;;?
AEKA-0203;Kitchen Apron Lemon - Asta;;;?
AEKA-0601;Kitchen Apron Ruffle Beige - Asta;;;?
AEKA-0602;Kitchen Apron Ruffle Pink- Asta;;;?
AEKA-0603;Kitchen Apron Ruffle Navy - Asta;;;?
AEKA-0604;Kitchen Apron Ruffle  Mint- Asta;;;?
